NAME,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G
Megan Wiggins,2010,0.1,0.3,0.4,0.2,0.5,0.5,1.2,0.4,0.0
Anne Kiberd,2010,0.5,0.3,0.8,0.8,0.5,0.5,1.0,0.3,0.0
Anna Von maltzahn,2010,0.9,3.1,4.0,1.7,0.7,2.0,0.4,0.8,0.3
April Scott,2010,0.9,2.1,3.0,2.3,4.2,2.7,1.6,1.7,0.1
Brooke Sullivan,2010,1.3,2.1,3.5,1.1,1.2,1.6,0.8,0.7,0.2
Patricia McNeil,2010,0.6,1.7,2.4,0.8,1.5,2.1,0.7,0.5,0.2
Deanna Yarr,2010,0.0,0.0,0.0,1.2,1.0,0.2,5.0,0.2,0.0
Carla Norrad,2010,0.0,0.0,0.0,0.0,1.7,0.7,2.5,0.0,0.0
Jessica Frison,2010,0.7,1.0,1.7,0.3,1.3,1.0,1.3,0.3,0.0
Cailin Crosby,2010,2.8,4.5,7.3,2.1,0.9,2.0,0.4,0.2,0.2
Laurie Girdwood,2010,3.5,4.3,7.8,2.5,1.4,2.0,0.7,0.8,0.4
Marie Mullins,2010,1.0,2.4,3.4,3.1,0.3,0.8,0.4,0.2,0.4
Tiffany Tozer,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samantha Kavanagh,2010,0.1,0.6,0.7,0.4,0.5,1.1,0.5,0.4,0.0
Erin Mullaley,2010,0.5,1.9,2.4,1.9,3.6,2.3,1.6,1.6,0.0
Jennifer Parsons,2010,1.2,2.0,3.2,1.9,0.8,1.4,0.6,0.4,0.6
Ericka Gratton,2010,0.6,1.9,2.4,1.1,0.6,0.7,0.9,0.3,0.4
Brittany Dalton,2010,1.7,4.0,5.8,1.6,2.7,4.2,0.6,1.7,0.7
Victoria Thistle,2010,1.4,4.5,5.8,0.9,2.9,2.0,1.5,1.6,0.5
Robyn O'Rielly,2010,0.3,1.6,1.9,1.4,1.5,2.1,0.7,0.7,0.1
Lauren Hawkins,2010,0.4,0.8,1.2,0.6,0.6,0.6,1.0,0.4,0.0
Alexandria Forsey,2010,2.7,4.6,7.3,2.5,1.2,2.4,0.5,0.7,1.4
Kim Devison,2010,0.4,0.6,1.0,0.5,1.2,0.9,1.3,0.8,0.1
Emily Jameson,2010,0.4,1.2,1.6,0.5,1.5,1.2,1.3,0.6,0.1
Anna Snow,2010,0.0,0.3,0.3,0.3,0.3,0.8,0.3,0.3,0.0
Grace Fishbein,2010,1.5,3.5,5.0,1.4,2.7,2.1,1.3,1.3,0.0
Stephanie Stewart,2010,0.5,0.5,1.1,0.9,0.1,0.3,0.3,0.1,0.1
Angela Fifield,2010,0.3,0.8,1.1,1.4,1.0,1.1,0.9,0.5,0.0
Justine Colley,2010,1.1,3.9,5.0,2.7,3.7,3.7,1.0,2.5,0.3
Shanon Chapman,2010,0.8,0.3,1.0,0.5,0.5,0.9,0.6,0.8,0.0
Amanda Smith,2010,1.6,4.2,5.8,2.7,0.6,1.1,0.6,0.9,0.1
Kelsey Daley,2010,1.1,2.5,3.5,1.6,3.0,2.4,1.3,1.1,0.6
Robbi Daley,2010,0.7,1.5,2.2,0.8,0.8,1.2,0.6,0.4,0.2
Rhonda Kennedy,2010,0.3,0.6,0.8,0.2,0.6,0.5,1.1,0.3,0.1
Stephanie Clarke,2010,0.6,0.9,1.5,0.5,0.3,0.8,0.4,0.3,0.0
Lia Milito,2010,1.5,1.9,3.4,2.0,0.8,2.1,0.4,0.4,0.3
Laure Pitfield,2010,1.9,3.9,5.8,2.5,1.3,3.0,0.4,0.6,0.9
Rebecca Nuttall,2010,1.2,2.7,3.9,2.0,1.4,1.6,0.8,0.6,0.1
Aicha Salah,2010,0.3,0.4,0.6,0.6,0.1,0.3,0.5,0.0,0.1
Maria Konchalski,2010,0.2,0.3,0.5,0.9,0.4,0.8,0.4,0.2,0.1
Katherine Kanaski,2010,2.0,3.0,5.0,2.0,1.7,1.2,1.4,1.0,0.3
Camesha McKenzie,2010,1.4,1.6,3.1,2.1,1.5,1.8,0.8,1.6,0.1
Rebecca Sheehan,2010,1.5,1.4,2.9,2.4,1.6,1.6,1.1,1.9,0.3
Jocelyn Moore,2010,0.3,0.6,0.9,0.8,0.6,0.8,0.8,0.7,0.0
Tory Anderson,2010,1.3,2.0,3.3,1.4,3.2,2.0,1.6,1.8,0.0
Sheryl Chisholm,2010,0.8,1.2,1.9,1.6,1.7,2.0,0.8,1.1,0.1
Kirsten Jones,2010,2.8,3.5,6.2,2.5,0.5,1.1,0.4,1.6,1.1
Lisa Gauthier,2010,1.3,0.9,2.1,1.1,0.1,0.7,0.2,0.0,0.0
Tristan Macdonald,2010,0.1,0.4,0.5,0.1,0.2,0.7,0.3,0.8,0.0
Ellen Crosby,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elyse Hnatiuk,2010,0.8,1.5,2.3,2.0,0.3,1.6,0.2,0.6,0.1
Ashley Stephen,2010,3.1,5.2,8.3,2.6,2.9,3.5,0.8,2.5,0.1
Megan Corby,2010,0.5,1.6,2.1,1.8,2.1,3.5,0.6,1.9,0.1
Samantha Kaminsky,2010,0.9,1.1,1.9,1.6,0.5,1.1,0.4,0.3,0.1
Alisha Sterling,2010,0.7,0.6,1.3,2.1,0.9,1.2,0.7,0.6,0.0
Emily Corey,2010,0.4,0.6,0.9,0.9,0.6,1.1,0.5,0.3,0.0
Jessica Steed,2010,0.9,1.9,2.8,0.6,1.9,2.0,0.9,0.9,0.1
Emma Russell,2010,1.4,6.2,7.5,3.3,2.7,2.4,1.1,0.9,0.8
Laura Fowler,2010,0.6,0.9,1.5,0.9,0.8,1.3,0.7,0.4,0.1
Jordanne Holstein,2010,1.2,2.9,4.1,2.4,1.6,1.5,1.1,0.9,0.0
Amanda Sharpe,2010,3.1,3.5,6.5,2.9,1.8,2.1,0.9,0.9,0.8
Tashina Van vlack,2010,0.2,0.9,1.1,1.3,2.9,2.8,1.0,0.4,0.0
Melissa Foster,2010,1.5,3.2,4.7,1.4,1.1,1.9,0.6,0.1,0.3
Kristen Johnson,2010,0.5,0.9,1.5,0.7,1.0,1.6,0.6,0.7,0.1
Danielle Scime,2010,0.3,0.3,0.7,1.3,0.3,1.7,0.2,0.0,0.0
Nadine Chomyc,2010,1.5,2.5,4.0,2.8,1.4,3.4,0.4,0.7,0.0
Julia Vidic,2010,0.8,0.6,1.3,1.3,1.3,3.0,0.4,0.8,0.2
Victoria Walker,2010,0.8,2.3,3.0,2.1,2.1,3.8,0.6,1.1,0.7
Maria Younker,2010,0.3,0.8,1.1,0.4,0.2,1.2,0.2,0.2,0.0
Carly Lafave,2010,0.3,1.0,1.3,2.0,1.0,2.2,0.5,0.7,0.1
Kelly Debow,2010,0.8,3.8,4.5,2.0,0.5,3.2,0.1,0.8,0.7
Katie Moore,2010,2.5,4.3,6.8,2.9,0.9,2.3,0.4,0.8,0.3
Kirsten Walker,2010,0.9,2.3,3.2,2.1,0.6,2.9,0.2,0.5,0.4
Shylanda Saunders,2010,1.0,1.4,2.4,2.7,0.7,5.4,0.1,0.7,0.0
Julia McKenna,2010,0.5,0.9,1.5,1.3,0.8,2.4,0.3,0.3,0.1
Sarah Moore,2010,0.5,0.3,0.7,0.5,0.3,0.9,0.4,0.6,0.1
Juliana Lopez,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katy Germain,2010,1.7,2.6,4.3,1.8,1.4,2.5,0.6,1.8,0.1
Marie-Eve Lemoine,2010,0.8,2.5,3.3,1.3,1.8,2.8,0.6,1.2,0.0
M Ouellet-Godcharles,2010,1.6,2.4,3.9,1.2,2.4,1.7,1.4,1.8,0.2
Janelle Haddad,2010,0.7,0.1,0.9,1.0,0.0,0.7,0.0,0.0,0.1
Jessy Roy,2010,0.8,3.5,4.3,1.8,2.1,2.8,0.8,1.5,0.5
Bethan Chalke,2010,0.9,2.1,3.1,1.8,0.4,1.1,0.3,0.4,0.2
Robyn Wilson,2010,1.7,2.4,4.1,2.2,1.1,1.5,0.8,0.7,0.1
Annick S charles,2010,1.3,2.7,4.0,2.9,2.1,3.7,0.6,2.4,0.6
Tamara Grice,2010,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0
F Craig-Thompson,2010,0.5,0.7,1.2,0.7,0.1,0.6,0.1,0.0,0.0
G Cote-Caouette,2010,0.5,1.6,2.1,2.3,0.9,2.1,0.4,0.8,0.2
Elizabeth Coolen,2010,1.3,1.6,2.9,2.2,0.2,0.7,0.3,0.5,0.0
Melissa Szilagyi,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Magali Beaulieu,2010,0.6,1.1,1.7,1.5,0.9,1.6,0.6,0.8,0.1
Kristin Portwine,2010,2.8,3.8,6.6,3.9,0.7,2.4,0.3,1.1,0.3
Kourtney Diperno,2010,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0
Anne-Marie Prophete,2010,2.1,4.0,6.1,3.2,0.9,4.2,0.2,1.3,0.1
Jill Verhesen,2010,2.1,5.1,7.1,1.1,2.6,3.1,0.8,1.4,0.1
Yasmin Jean-Philippe,2010,1.2,1.5,2.7,1.3,1.7,1.6,1.1,1.1,0.1
Valerie Delisle,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Gregoire-Boudreau,2010,1.3,2.4,3.6,0.7,0.8,1.3,0.6,0.6,0.0
Kendra Carrie,2010,0.8,1.3,2.2,1.7,0.8,1.0,0.8,0.5,0.3
Shanice Yarde,2010,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Nekeita Lee,2010,1.5,2.3,3.8,1.3,0.6,2.1,0.3,1.6,0.2
M. Ferland,2010,0.5,1.3,1.8,1.2,1.3,1.8,0.8,0.6,0.0
E. Jobin,2010,0.4,4.3,4.7,1.9,1.7,2.6,0.7,1.0,0.9
E. M-Poulin,2010,0.1,0.8,0.9,1.2,0.8,0.8,1.0,0.5,0.0
M-L F-Laberge,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-M Genois,2010,3.3,5.9,9.1,1.4,1.9,4.8,0.4,1.3,1.6
S. Ducruc,2010,1.6,1.7,3.3,1.7,0.3,1.9,0.2,0.6,0.2
M. J-Tardif,2010,0.3,0.6,0.9,0.6,0.2,0.9,0.2,0.2,0.0
M. L-Dion,2010,0.4,0.7,1.1,0.5,0.4,0.8,0.5,0.1,0.3
C. St-Amour,2010,0.9,3.5,4.4,1.9,2.3,3.1,0.7,1.6,0.2
J. Chapados,2010,0.6,2.5,3.1,1.4,0.7,1.3,0.6,0.4,0.6
M-P Nadeau,2010,2.4,5.1,7.4,2.9,1.0,1.9,0.5,1.1,1.3
K. Bariault,2010,0.0,0.0,0.0,0.5,0.5,0.8,0.7,0.5,0.0
M. Lamarre,2010,1.2,2.8,4.0,1.7,1.9,2.4,0.8,0.9,0.2
Nathifa Weekes,2010,1.2,3.3,4.4,2.4,1.6,1.8,0.9,2.3,0.3
Stephanie Bergeron,2010,0.4,1.7,2.1,1.8,1.6,2.6,0.6,1.6,0.1
A. Him-Lazarenko,2010,2.9,4.8,7.8,2.1,1.6,2.3,0.7,1.0,0.2
Frances Grout-Brown,2010,0.0,0.5,0.5,0.8,0.1,0.5,0.3,0.1,0.0
Francoise Charest,2010,0.8,2.9,3.7,1.4,1.3,1.9,0.7,1.1,0.1
Marie-Pier Brabant,2010,0.1,0.6,0.7,0.9,0.4,0.8,0.5,0.2,0.0
Rikki Bowles,2010,0.3,0.3,0.6,1.3,0.3,0.7,0.5,0.4,0.1
Caroline Hebert,2010,0.5,1.6,2.1,2.3,0.4,1.1,0.3,0.2,0.3
Brianne Coglon,2010,0.0,0.3,0.3,0.0,0.2,0.3,0.5,0.0,0.0
