NAME,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
Montanna Dunmore,2010,1.8,3.3,53.3,0.0,0.0,0.0,1.1,2.2,51.3,4.7
Zara Huntley,2010,5.2,11.3,46.1,0.0,0.1,0.0,3.3,4.5,72.8,13.7
Alex Vieweg,2010,5.5,10.4,52.9,0.3,0.8,33.3,1.8,2.4,72.7,13.1
Virginia Watson,2010,0.2,0.9,16.7,0.0,0.5,0.0,0.0,0.2,0.0,0.3
Leigh Stansfield,2010,2.8,5.8,48.6,0.0,0.1,0.0,1.1,1.9,55.9,6.7
Victoria Spangehl,2010,0.2,0.9,20.0,0.0,0.0,0.0,0.3,0.4,75.0,0.6
Courtney Bartel,2010,2.4,7.7,31.2,0.2,2.7,6.3,0.9,1.3,66.7,5.8
Jane Meadwell,2010,5.3,14.4,37.1,1.0,3.4,29.0,7.8,9.3,83.9,19.5
Olivia Vardabasso,2010,1.2,2.4,50.0,0.4,1.2,33.3,0.0,0.0,0.0,2.8
Naomi Dueck,2010,0.7,3.3,20.0,0.3,2.0,16.7,0.7,0.7,100.0,2.3
Tessa Hart,2010,1.7,6.7,25.4,0.9,3.0,31.4,1.1,1.7,62.1,5.4
Alexa McCarthy,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren Rieu,2010,1.4,3.7,38.8,0.0,0.4,0.0,0.9,1.2,72.7,3.8
Ashley Smith,2010,0.8,2.8,26.7,0.0,0.1,0.0,0.4,0.9,42.9,1.9
Alyssa Gaukel,2010,3.2,8.8,36.5,1.4,4.2,32.9,1.2,1.5,81.5,9.1
Aieisha Luyken,2010,2.5,9.8,25.4,0.8,3.4,24.2,1.5,2.3,65.9,7.3
Nicole Wierks,2010,2.2,5.7,38.1,0.0,0.0,0.0,1.0,1.5,68.0,5.4
Sam Kurath,2010,0.9,2.5,37.1,0.0,0.0,0.0,0.3,0.6,50.0,2.1
Michelle Lee,2010,0.8,2.6,31.8,0.2,0.9,26.7,0.3,0.5,55.6,2.2
