player_id,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
571,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2011,1.8,6.3,28.0,0.4,1.8,23.7,0.8,1.1,70.8,4.8
186,2011,3.1,8.9,35.3,2.0,5.5,35.3,0.9,1.2,73.1,9.1
187,2011,3.9,11.8,32.8,2.1,6.9,31.3,1.3,1.8,75.7,11.2
188,2011,1.9,6.1,32.2,0.1,0.1,50.0,3.2,4.8,65.2,7.1
189,2011,0.5,0.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,1.5
572,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,2011,4.1,11.1,36.7,0.1,0.1,66.7,2.5,3.4,72.0,10.7
573,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,2011,1.8,6.9,26.1,0.6,1.7,33.3,1.0,1.8,55.2,5.2
575,2011,0.5,0.5,100.0,0.0,0.0,0.0,1.0,2.5,40.0,2.0
576,2011,0.3,1.5,22.2,0.0,0.0,0.0,0.2,0.3,50.0,0.8
193,2011,3.4,9.2,37.3,0.0,0.0,0.0,2.1,3.7,57.7,9.0
577,2011,1.8,6.0,29.3,0.5,1.2,37.0,0.8,1.2,65.4,4.8
578,2011,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7
194,2011,0.5,2.5,21.8,0.2,1.0,18.2,0.3,0.5,60.0,1.5
195,2011,1.9,5.0,37.8,0.1,0.3,20.0,1.4,1.7,83.9,5.3
196,2011,4.6,13.7,33.4,2.8,7.6,36.9,2.3,2.8,80.6,14.3
579,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,2011,0.3,1.8,17.9,0.0,0.1,0.0,0.1,0.2,40.0,0.7
581,2011,0.5,1.8,29.4,0.3,1.0,31.6,0.3,0.5,60.0,1.7
582,2011,1.8,5.6,32.3,0.3,1.7,18.9,1.3,2.0,63.6,5.2
200,2011,1.2,4.4,26.8,0.4,1.4,25.8,0.5,0.9,50.0,3.2
583,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2011,2.4,9.1,26.4,1.2,5.2,22.8,1.4,2.0,66.7,7.4
584,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,2011,0.8,3.1,25.8,0.0,0.1,0.0,0.5,0.8,62.5,2.1
585,2011,0.1,0.9,12.5,0.1,0.7,16.7,0.2,0.7,33.3,0.6
586,2011,0.5,1.7,31.0,0.0,0.1,0.0,0.4,1.0,41.2,1.5
587,2011,5.0,10.5,47.4,0.0,0.1,0.0,2.2,3.2,67.6,12.2
205,2011,4.2,12.2,35.0,0.6,2.1,27.9,4.5,7.8,58.0,13.7
206,2011,0.5,1.7,30.6,0.4,1.4,30.0,0.1,0.4,25.0,1.6
207,2011,1.3,4.0,31.8,0.5,2.1,26.1,0.6,0.8,77.8,3.7
588,2011,1.1,3.8,28.9,0.4,2.1,19.1,0.6,1.0,56.5,3.2
589,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,2011,0.8,2.5,32.1,0.1,0.8,11.1,0.5,1.0,45.5,2.2
590,2011,1.0,4.5,23.0,0.4,2.0,18.6,0.9,1.1,76.0,3.3
212,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,2011,2.6,7.8,33.1,1.0,3.0,32.8,1.3,1.9,70.7,7.5
215,2011,6.0,12.7,47.1,0.5,1.7,28.9,4.1,6.0,68.2,16.6
592,2011,1.5,4.6,33.7,0.0,0.1,0.0,2.4,3.0,81.5,5.5
593,2011,0.3,2.4,11.1,0.1,1.3,10.5,0.7,0.9,76.9,1.3
594,2011,0.4,1.1,35.7,0.0,0.0,0.0,0.2,0.6,37.5,1.0
595,2011,2.7,7.3,37.5,0.6,1.7,36.8,1.3,2.2,59.2,7.4
218,2011,1.2,4.2,28.6,0.4,0.6,66.7,1.3,1.6,81.3,4.1
596,2011,1.6,4.9,32.4,0.8,2.7,30.0,0.5,0.8,66.7,4.5
220,2011,2.6,8.0,32.5,1.0,3.0,35.5,0.5,0.8,64.7,6.8
