,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G,player_id
592,2013,1.0,3.8,4.8,2.0,1.1,1.6,0.7,1.0,0.3,91
593,2013,1.6,1.9,3.5,2.3,1.1,1.8,0.6,0.5,0.7,93
594,2013,0.2,2.0,2.2,1.7,1.8,3.2,0.6,1.1,0.1,94
595,2013,1.1,1.6,2.7,0.9,1.6,1.3,1.3,0.9,0.0,546
596,2013,0.6,2.1,2.8,1.4,0.8,1.1,0.7,0.3,0.3,547
597,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548
598,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549
599,2013,1.3,2.9,4.2,2.0,1.5,5.2,0.3,1.6,0.1,550
600,2013,0.3,0.7,1.0,2.3,0.0,0.3,0.0,0.0,0.0,551
601,2013,0.3,0.6,0.9,0.8,0.5,1.3,0.4,0.3,0.0,100
602,2013,0.6,2.6,3.2,2.8,0.9,2.8,0.3,0.6,0.6,552
603,2013,0.4,2.6,3.0,1.8,1.6,2.8,0.6,1.4,0.2,102
604,2013,1.3,4.5,5.8,1.9,2.6,4.5,0.6,1.9,0.1,103
605,2013,1.3,2.0,3.3,2.4,0.4,1.0,0.4,0.3,0.3,104
606,2013,1.1,1.4,2.5,1.0,0.3,2.2,0.1,0.4,0.1,553
607,2013,1.6,2.4,3.9,1.8,0.6,1.9,0.3,0.9,0.1,554
608,2013,0.8,0.8,1.7,1.3,0.0,0.9,0.0,0.2,0.2,555
609,2013,2.3,2.5,4.8,2.3,1.7,2.0,0.8,2.3,0.4,107
610,2013,0.1,0.2,0.3,0.3,0.3,0.6,0.6,0.3,0.1,556
611,2013,0.3,0.6,0.9,1.1,1.8,0.6,2.9,0.9,0.1,557
612,2013,2.3,4.1,6.4,2.8,1.6,2.4,0.6,1.1,0.5,558
613,2013,1.5,2.2,3.7,1.9,2.9,2.3,1.3,2.2,0.1,111
614,2013,2.3,2.6,4.9,2.1,0.1,0.6,0.2,0.6,0.3,559
615,2013,0.8,3.5,4.3,1.9,0.8,1.6,0.5,1.9,0.1,560
616,2013,1.3,0.7,1.9,1.8,0.3,0.7,0.4,0.1,0.1,115
617,2013,0.3,1.7,1.9,1.1,0.7,1.2,0.6,0.7,0.1,112
618,2013,2.2,3.3,5.5,2.9,0.9,0.9,1.0,2.1,0.5,117
619,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561
620,2013,0.1,1.8,1.9,1.6,2.6,2.8,1.0,1.6,0.0,120
621,2013,0.3,0.6,0.9,0.1,0.3,0.7,0.5,0.2,0.1,562
622,2013,0.6,3.2,3.8,1.6,2.3,3.2,0.7,1.1,0.6,122
623,2013,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,563
624,2013,1.1,3.1,4.1,2.4,1.2,2.4,0.5,0.8,0.1,564
625,2013,1.1,2.3,3.4,1.3,0.9,1.1,0.8,0.8,0.3,125
626,2013,0.7,0.2,0.9,1.0,0.4,0.9,0.5,0.2,0.0,565
627,2013,0.8,1.9,2.7,1.9,0.5,0.9,0.5,0.6,0.3,566
628,2013,0.9,2.6,3.5,1.5,0.9,1.6,0.6,0.6,0.4,128
629,2013,0.5,1.1,1.6,1.2,0.3,1.1,0.3,0.3,0.2,567
630,2013,0.5,1.3,1.8,1.1,0.3,0.6,0.4,0.1,0.0,130
631,2013,3.3,6.8,10.0,2.8,1.3,2.1,0.6,1.1,2.2,131
632,2013,0.3,0.5,0.8,0.8,0.5,0.3,1.5,0.0,0.2,568
633,2013,0.1,0.6,0.7,0.3,0.1,0.4,0.3,0.1,0.0,569
634,2013,0.3,2.3,2.6,1.9,4.0,2.4,1.7,1.2,0.3,132
635,2013,2.3,3.8,6.2,1.3,0.8,1.7,0.5,1.6,0.3,134
636,2013,0.5,3.5,4.1,2.1,2.6,1.9,1.4,1.7,0.1,136
637,2013,0.4,0.8,1.1,0.6,0.0,0.3,0.0,0.1,0.0,570
638,2013,1.0,0.7,1.7,1.4,0.5,1.9,0.3,0.7,0.2,571
639,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138
640,2013,1.2,2.6,3.9,1.8,1.4,2.2,0.6,1.4,0.0,572
641,2013,1.3,2.8,4.1,2.3,1.2,2.1,0.6,0.8,0.0,139
