player_id,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G
297,2010,2.0,1.5,3.5,1.3,0.4,1.0,0.4,0.5,0.1
298,2010,1.4,2.4,3.7,1.3,2.1,1.9,1.1,2.2,0.3
299,2010,0.6,0.9,1.6,0.7,0.9,1.8,0.5,0.6,0.1
300,2010,0.5,1.0,1.5,1.1,2.0,1.5,1.4,0.6,0.1
301,2010,2.0,2.4,4.4,2.8,3.1,2.9,1.1,1.6,0.1
302,2010,1.5,2.1,3.6,2.5,1.0,0.9,1.1,1.0,0.4
303,2010,0.5,0.6,1.1,0.8,0.2,0.5,0.5,0.3,0.2
304,2010,1.1,1.6,2.7,0.8,0.6,1.1,0.5,0.4,0.1
305,2010,0.9,1.0,1.9,2.3,0.4,1.7,0.2,0.3,0.1
306,2010,0.9,0.9,1.8,0.2,0.5,1.1,0.4,0.7,0.1
307,2010,0.6,0.6,1.2,0.4,0.4,0.8,0.5,0.6,0.0
308,2010,1.4,2.4,3.7,1.9,0.4,1.0,0.4,0.7,0.6
309,2010,0.7,2.2,2.9,2.4,0.9,2.1,0.4,1.1,0.2
310,2010,3.5,7.5,11.0,3.1,1.6,3.8,0.4,2.4,0.8
311,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,2010,1.2,2.6,3.8,1.7,1.9,2.2,0.8,0.9,0.1
313,2010,1.3,3.4,4.6,3.1,1.4,3.2,0.4,1.7,0.0
314,2010,0.1,0.2,0.3,0.2,0.2,0.5,0.3,0.4,0.1
315,2010,1.5,2.5,4.0,1.3,1.0,2.5,0.4,1.2,0.0
316,2010,0.4,0.5,0.9,0.2,0.1,0.6,0.2,0.1,0.0
317,2010,0.7,3.6,4.3,2.5,1.9,3.2,0.6,1.1,0.5
318,2010,0.6,0.7,1.3,1.5,0.4,1.1,0.4,0.6,0.1
319,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,2010,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
321,2010,0.6,1.8,2.4,1.7,1.8,2.0,0.9,1.5,0.1
322,2010,2.9,4.7,7.6,2.2,0.8,2.9,0.3,0.9,0.5
323,2010,0.9,1.8,2.7,1.7,0.4,2.8,0.2,0.6,0.0
324,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,2010,0.4,1.2,1.6,1.1,0.9,1.5,0.6,0.3,0.1
326,2010,1.2,2.9,4.1,2.3,0.5,2.5,0.2,0.4,0.5
327,2010,2.0,4.6,6.6,3.2,0.9,2.7,0.3,0.7,0.3
328,2010,1.9,1.4,3.3,1.7,0.6,1.2,0.5,0.3,0.1
329,2010,0.9,2.2,3.0,2.0,1.0,1.6,0.6,0.5,0.0
330,2010,1.5,2.0,3.5,1.7,3.4,2.4,1.4,0.9,0.1
331,2010,1.4,4.4,5.8,1.6,1.0,1.3,0.8,0.9,0.5
332,2010,1.9,3.6,5.5,1.8,1.5,3.2,0.5,1.1,0.7
333,2010,1.0,3.4,4.4,1.4,1.7,2.6,0.7,1.6,0.1
334,2010,1.1,3.2,4.3,2.1,3.2,2.4,1.3,2.0,0.0
