player_id,TEAM,SEASON,PLYR_YR,NUM,GP,GS,MIN/G
350,windsor,2010,,23,21.0,17.0,26.3
351,york,2010,,4,20.0,19.0,30.1
352,york,2010,,5,20.0,19.0,33.1
353,york,2010,,6,20.0,19.0,32.3
354,york,2010,,8,19.0,0.0,11.7
355,york,2010,,9,11.0,0.0,3.0
356,york,2010,,11,2.0,0.0,0.0
357,york,2010,,12,22.0,19.0,23.8
358,york,2010,,13,22.0,5.0,25.4
359,york,2010,,21,19.0,0.0,11.8
360,york,2010,,22,21.0,16.0,20.4
361,york,2010,,23,22.0,2.0,15.4
362,alberta,2010,S,4,20.0,19.0,25.6
363,alberta,2010,S,5,11.0,10.0,27.4
364,alberta,2010,F,6,14.0,0.0,5.0
365,alberta,2010,S,7,20.0,0.0,10.4
366,alberta,2010,F,8,14.0,0.0,12.4
367,alberta,2010,F,9,5.0,0.0,4.4
368,alberta,2010,F,10,20.0,0.0,11.4
369,alberta,2010,S,11,6.0,0.0,3.7
370,alberta,2010,S,12,20.0,0.0,14.9
371,alberta,2010,J,13,20.0,19.0,22.4
372,alberta,2010,S,14,20.0,9.0,21.0
373,alberta,2010,J,15,20.0,0.0,16.3
374,alberta,2010,S,20,20.0,19.0,24.4
375,alberta,2010,S,22,20.0,19.0,24.2
376,brandon,2010,J,05,20.0,18.0,21.0
377,brandon,2010,F,06,13.0,0.0,8.8
378,brandon,2010,S,07,12.0,0.0,11.1
379,brandon,2010,J,08,18.0,9.0,25.0
380,brandon,2010,S,09,10.0,8.0,26.8
381,brandon,2010,S,10,17.0,2.0,17.9
382,brandon,2010,S,11,19.0,19.0,25.6
383,brandon,2010,S,12,1.0,0.0,2.0
384,brandon,2010,F,14,17.0,7.0,19.4
385,brandon,2010,J,15,20.0,20.0,30.5
386,brandon,2010,S,22,16.0,2.0,15.8
387,brandon,2010,S,32,18.0,15.0,20.2
388,brandon,2010,S,33,18.0,0.0,17.5
389,calgary,2010,,04,20.0,19.0,24.6
390,calgary,2010,,05,10.0,0.0,13.0
391,calgary,2010,,06,20.0,1.0,16.9
392,calgary,2010,,07,20.0,1.0,19.3
393,calgary,2010,,08,20.0,17.0,27.6
394,calgary,2010,,09,19.0,19.0,22.3
395,calgary,2010,,10,20.0,20.0,28.3
396,calgary,2010,,11,0.0,0.0,0.0
397,calgary,2010,,12,20.0,20.0,30.4
398,calgary,2010,,14,0.0,0.0,0.0
399,calgary,2010,,15,20.0,3.0,15.8
400,calgary,2010,,22,17.0,0.0,10.8
401,lethbridge,2010,,04,20.0,0.0,10.9
402,lethbridge,2010,,05,20.0,5.0,25.3
403,lethbridge,2010,,06,20.0,19.0,32.1
404,lethbridge,2010,,07,20.0,19.0,34.4
405,lethbridge,2010,,08,20.0,19.0,22.6
406,lethbridge,2010,,09,19.0,0.0,8.7
407,lethbridge,2010,,10,10.0,0.0,5.5
408,lethbridge,2010,,12,15.0,8.0,19.7
409,lethbridge,2010,,13,17.0,1.0,10.2
410,lethbridge,2010,,14,0.0,0.0,0.0
411,lethbridge,2010,,15,20.0,19.0,27.4
412,lethbridge,2010,,22,20.0,5.0,14.9
413,manitoba,2010,J,04,20.0,16.0,22.6
414,manitoba,2010,S,07,20.0,20.0,30.7
415,manitoba,2010,S,08,20.0,20.0,32.9
416,manitoba,2010,S,09,20.0,0.0,13.2
417,manitoba,2010,F,10,11.0,0.0,7.1
418,manitoba,2010,J,11,20.0,3.0,21.5
419,manitoba,2010,S,12,15.0,1.0,7.9
420,manitoba,2010,J,13,20.0,20.0,26.9
421,manitoba,2010,S,14,20.0,20.0,33.1
422,manitoba,2010,F,15,19.0,0.0,9.7
