Year,Name,School,Conference,Grade
2019,Kacie Bosch, Lethbridge,CANWEST,2
2019,Amira Giannattasio, Victoria,CANWEST,2
2019,Emma Kary, Alberta,CANWEST,2
2019,Summer Masikewich, Saskatchewan,CANWEST,2
2019,Erin McIntosh, Calgary,CANWEST,2
2020,Kacie Bosch, Lethbridge,CANWEST,2
2020,Ashlyn Day, Victoria,CANWEST,2
2020,Sabine Dukate, Saskatchewan,CANWEST,2
2020,Erin McIntosh, Calgary,CANWEST,2
2020,Liene Stalidzane, Calgary,CANWEST,2
2021,Carly Ahlstrom, Saskatchewan,CANWEST,2
2021,Nicole Fransson, Trinity Western,CANWEST,2
2021,Kyanna Giles, Winnipeg,CANWEST,2
2021,Jessica Haenni, Lethbridge,CANWEST,2
2021,Alina Shakirova, UNBC,CANWEST,2
2023,Ashlyn Day, Victoria,CANWEST,2
2023,Jayden Gill, Trinity Western,CANWEST,2
2023,Jaeli Ibbetson, UBC Okanagan,CANWEST,2
2023,Cara Misskey, Regina,CANWEST,2
2023,Claire Signatovich, Alberta,CANWEST,2
2015,Laura Dally, Saskatchewan,CANWEST,3
2015,Charlotte Kot, Regina,CANWEST,3
2015,Megan Noonan, Winnipeg,CANWEST,3
2015,Megan Wood, MacEwan,CANWEST,3
2015,Taiysa Worsfold, Thompson Rivers,CANWEST,3
2016,Keisha Cox, Brandon,CANWEST,3
2016,Kelly Fagan, MacEwan,CANWEST,3
2016,Alyssia Kajati, Regina,CANWEST,3
2016,Kara Spotton, UBC,CANWEST,3
2016,Megan Wickstrom, Alberta,CANWEST,3
2017,Brianna Ghali, Calgary,CANWEST,3
2017,Kyanna Giles, Regina,CANWEST,3
2017,Kendall Lydon, MacEwan,CANWEST,3
2017,Megan Noonan, Winnipeg,CANWEST,3
2017,Kara Spotton, UBC,CANWEST,3
2018,Kayla Gordon, Trinity Western,CANWEST,3
2018,Faith Hezekiah, Winnipeg,CANWEST,3
2018,Charlotte Kot, Regina,CANWEST,3
2018,Shayna Litman, UFV,CANWEST,3
2018,Taylor Randall, Manitoba,CANWEST,3
2019,Jessica Brown, Trinity Western,CANWEST,3
2019,Taylor Claggett, UFV,CANWEST,3
2019,Maria Mongomo, UNBC,CANWEST,3
2019,Maddison Penn, UBC,CANWEST,3
2019,Taylor Randall, Manitoba,CANWEST,3
2020,Jessica Hanson, UBC,CANWEST,3
2020,Michaela Kleisinger, Regina,CANWEST,3
2020,Madison Landry, UNBC,CANWEST,3
2020,Taylor Randall, Manitoba,CANWEST,3
2020,Deanna Tuchscherer, UFV,CANWEST,3
2022,Jade Belmore, Regina,CANWEST,3
2022,MacKenzie Farmer, MacEwan,CANWEST,3
2022,Maddy Gobeil, UFV,CANWEST,3
2022,Faith Hezekiah, Winnipeg,CANWEST,3
2022,Claire Signatovich, Alberta,CANWEST,3
2023,Nicole Fransson, Trinity Western,CANWEST,3
2023,Gage Grassick, Saskatchewan,CANWEST,3
2023,Jessica Haenni, Lethbridge,CANWEST,3
2023,Annacy Palmer, Calgary,CANWEST,3
2023,Olivia Weekes, UBC,CANWEST,3
2010,Alyson Bush, Carleton,OUA,1
2010,Brittany Moore, Queens,OUA,1
2010,Lacey O'Sullivan, Ryerson,OUA,1
2010,Nicki Schutz, Toronto,OUA,1
2010,Hannah Sunley-Paisley, Ottawa,OUA,1
2011,Lisa Furchner Carruthers, Laurentian,OUA,1
2011,Ashley MacDonald, Ryerson,OUA,1
2011,Brittany Moore, Queens,OUA,1
2011,Nicki Schutz, Toronto,OUA,1
2011,Hannah Sunley-Paisley, Ottawa,OUA,1
2012,Alyson Bush, Carleton,OUA,1
2012,Ashley MacDonald, Ryerson,OUA,1
2012,Brittany Moore, Queens,OUA,1
2012,Jill Stratton, Toronto,OUA,1
2012,Hannah Sunley-Paisley, Ottawa,OUA,1
2013,Alyson Bush, Carleton,OUA,1
2013,Jenna Gilbert, Ottawa,OUA,1
2013,Alexandra (Sasha) Polishchuk, Laurentian,OUA,1
2013,Cyrielle Recoura, York,OUA,1
2013,Kellie Ring, Ottawa,OUA,1
2014,Liz Boag, Queens,OUA,1
2014,Elizabeth Roach, Carleton,OUA,1
2014,Maddie Stephen, Ottawa,OUA,1
2014,Jill Stratton, Toronto,OUA,1
2014,Jenny Wright, Queens,OUA,1
2022,Julia Chadwick, Queens,OUA,1
2022,Mikaela Dodig, Ryerson,OUA,1
2022,Brigitte Lefebvre-Okankwu, Ottawa,OUA,1
2022,Kali Pocrnic, Carleton,OUA,1
2022,Marin Scotten, Ryerson,OUA,1
2010,Darrah Bumstead, Laurentian,OUA,2
2010,Katie Goggins, Laurentian,OUA,2
2010,Lisa Goldring, Ryerson,OUA,2
2010,Katie Guthrie, Queens,OUA,2
2010,Ashley MacDonald, Ryerson,OUA,2
2011,Alyson Bush, Carleton,OUA,2
2011,Jenna Gilbert, Ottawa,OUA,2
2011,Katie Goggins, Laurentian,OUA,2
2011,Sherri Pierce, Toronto,OUA,2
2011,Brittany Szockyj, York,OUA,2
2012,Ashleigh Cleary, Carleton,OUA,2
2012,Jenna Gilbert, Ottawa,OUA,2
2012,Bess Lennox, Ottawa,OUA,2
2012,Sherri Pierce, Toronto,OUA,2
2012,Angela Tilk, Ryerson,OUA,2
2013,Liz Boag, Queens,OUA,2
2013,Cassandra Nofuente, Ryerson,OUA,2
2013,Lindsay Shotbolt, Carleton,OUA,2
2013,Rachael Sider, Toronto,OUA,2
2013,Maddie Stephen, Ottawa,OUA,2
2014,Gemma Bullard, Queens,OUA,2
2014,Stephanie MacDonald, Ottawa,OUA,2
2014,Keneca Pingue-Giles, Ryerson,OUA,2
2014,Lindsay Shotbolt, Carleton,OUA,2
